taxon	min	max
Crassatella_vadosa	49.7	53.4
Crassatella_carolinensis	54.6	60.6
Crassatella_hodgei	57.8	60.6
Crassatella_tumidula	36.2	36.7
Crassatella_aquiana	38.6	39.2
Spissatella_trailli	0	2.2
Scambula_perplana	56.1	57.6
Bathytormus_pteropsis	48.7	49.1
Bathytormus_alaeformis	33	36.2
Bathytormus_protextus	18.2	18.3
Bathytormus_clarkensis	18.3	20.4
