"matrix","dependent_character","independent_character"
"Acanthoceratidae_Mertz_2017.nex",14,0
"Acanthoceratidae_Mertz_2017.nex",16,0
"Acanthoceratidae_Mertz_2017.nex",18,0
"Acanthoceratidae_Mertz_2017.nex",20,0
"Acanthoceratidae_Mertz_2017.nex",21,0
"Acanthoceratidae_Mertz_2017.nex",22,0
"Acanthoceratidae_Mertz_2017.nex",24,0
"Acanthoceratidae_Mertz_2017.nex",26,0
"Acanthoceratidae_Mertz_2017.nex",28,16
"Acanthoceratidae_Mertz_2017.nex",30,0
"Ceratitida_McGowan_2010.nex",57,0
