"0---"	"1000"	"1001"	"1010"	"1011"	"1100"	"1101"	"1110"	"1111"	"2000"	"2001"	"2010"	"2011"	"2100"	"2101"	"2110"	"2111"	"3000"	"3001"	"3010"	"3011"	"3100"	"3101"	"3110"	"3111"
"0---"	-1	0.0416666666666667	0.0416666666666667	0.0416666666666667	0.0416666666666667	0.0416666666666667	0.0416666666666667	0.0416666666666667	0.0416666666666667	0.0416666666666667	0.0416666666666667	0.0416666666666667	0.0416666666666667	0.0416666666666667	0.0416666666666667	0.0416666666666667	0.0416666666666667	0.0416666666666667	0.0416666666666667	0.0416666666666667	0.0416666666666667	0.0416666666666667	0.0416666666666667	0.0416666666666667	0.0416666666666667
"1000"	1	-6	1	1	0	1	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0
"1001"	1	1	-6	0	1	0	1	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0
"1010"	1	1	0	-6	1	0	0	1	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0
"1011"	1	0	1	1	-6	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0
"1100"	1	1	0	0	0	-6	1	1	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0
"1101"	1	0	1	0	0	1	-6	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0
"1110"	1	0	0	1	0	1	0	-6	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0
"1111"	1	0	0	0	1	0	1	1	-6	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1
"2000"	1	1	0	0	0	0	0	0	0	-6	1	1	0	1	0	0	0	1	0	0	0	0	0	0	0
"2001"	1	0	1	0	0	0	0	0	0	1	-6	0	1	0	1	0	0	0	1	0	0	0	0	0	0
"2010"	1	0	0	1	0	0	0	0	0	1	0	-6	1	0	0	1	0	0	0	1	0	0	0	0	0
"2011"	1	0	0	0	1	0	0	0	0	0	1	1	-6	0	0	0	1	0	0	0	1	0	0	0	0
"2100"	1	0	0	0	0	1	0	0	0	1	0	0	0	-6	1	1	0	0	0	0	0	1	0	0	0
"2101"	1	0	0	0	0	0	1	0	0	0	1	0	0	1	-6	0	1	0	0	0	0	0	1	0	0
"2110"	1	0	0	0	0	0	0	1	0	0	0	1	0	1	0	-6	1	0	0	0	0	0	0	1	0
"2111"	1	0	0	0	0	0	0	0	1	0	0	0	1	0	1	1	-6	0	0	0	0	0	0	0	1
"3000"	1	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	-6	1	1	0	1	0	0	0
"3001"	1	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	-6	0	1	0	1	0	0
"3010"	1	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	-6	1	0	0	1	0
"3011"	1	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	1	1	-6	0	0	0	1
"3100"	1	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	-6	1	1	0
"3101"	1	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	1	0	0	1	-6	0	1
"3110"	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	1	0	1	0	-6	1
"3111"	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	1	0	1	1	-6
