"0---"	"1000"	"1001"	"1010"	"1011"	"1100"	"1101"	"1110"	"1111"	"1200"	"1201"	"1210"	"1211"
"0---"	-1	0.0833333333333333	0.0833333333333333	0.0833333333333333	0.0833333333333333	0.0833333333333333	0.0833333333333333	0.0833333333333333	0.0833333333333333	0.0833333333333333	0.0833333333333333	0.0833333333333333	0.0833333333333333
"1000"	1	-5	1	1	0	1	0	0	0	1	0	0	0
"1001"	1	1	-5	0	1	0	1	0	0	0	1	0	0
"1010"	1	1	0	-5	1	0	0	1	0	0	0	1	0
"1011"	1	0	1	1	-5	0	0	0	1	0	0	0	1
"1100"	1	1	0	0	0	-5	1	1	0	1	0	0	0
"1101"	1	0	1	0	0	1	-5	0	1	0	1	0	0
"1110"	1	0	0	1	0	1	0	-5	1	0	0	1	0
"1111"	1	0	0	0	1	0	1	1	-5	0	0	0	1
"1200"	1	1	0	0	0	1	0	0	0	-5	1	1	0
"1201"	1	0	1	0	0	0	1	0	0	1	-5	0	1
"1210"	1	0	0	1	0	0	0	1	0	1	0	-5	1
"1211"	1	0	0	0	1	0	0	0	1	0	1	1	-5
